LATITUDE,LONGITUDE,POST_CODE,POOL_NAME,WEBSITE
53.37624,-2.35426,WA14 2HT,Mercure Altrincham Bowdon Hall,http://www.hotels-altrincham.com
53.58134,-2.43866,BL1 4AL,David Lloyd Club (Bolton),http://www.davidlloyd.co.uk/clubs/bolton/
53.38422,-2.3515,WA14 2DE,Total Fitness (Altrincham),http://www.totalfitness.co.uk/clubs/altrincham/
53.1146,-3.29765,LL15 1EG,Ruthin Leisure Centre,http://www.denbighshireleisure.co.uk
53.74776,-3.03308,FY8 1SW,St Annes Ymca Pool & Gym,NULL
53.74837,-3.03168,FY8 1LX,Dalmeny Hotel And Leisure,http://www.dalmenyhotel.co.uk
53.59991,-2.45344,BL1 6JS,Smithills Community Sports Centre,http://www.sportsmithills.co.uk
53.74863,-3.03193,FY8 1LU,Nivens Health Club,http://www.innontheprom.com
53.46999,-2.36013,M17 8RH,David Lloyd Club (Manchester),http://www.davidlloyd.co.uk
53.58921,-2.44042,BL1 3DX,Jubilee Pool (Bolton),tel:01204334443
53.38677,-2.34692,WA15 8EW,Altrincham Leisure Centre,http://www.traffordleisure.co.uk
53.04278,-3.01192,LL13 7UB,Clywedog Sports Centre,http://www.freedom-leisure.co.uk/centres/clywedog-leisure-and-activity-centre/?utm_source=website&utm_medium=referral&utm_campaign=loveswimming
53.58263,-2.42961,BL1 2EW,Leisure Club @ Bolton,http://www.holidayinn.com
53.58017,-2.42711,BL1 2RU,The Splash Academy Centre,http://www.thesplashacademy.co.uk/
53.54763,-2.39797,BL4 9DZ,Farnworth Leisure Centre,https://www.boltonleisure.com/farnworth-leisure-centre/?utm_source=website&utm_medium=referral&utm_campaign=loveswimming
53.56933,-2.41572,BL3 2NE,DW Fitness First (Bolton),http://www.dwfitnessfirst.com/find-a-gym/bolton/
53.55216,-2.40059,BL4 7ED,Bodywise Ladies Health Club (ladies Only),#
53.68573,-2.568,PR6 8QU,Brinscall Swimming Pool,https://chorley.gov.uk/leisurecentres
53.48418,-2.34908,M30 0QT,The Links Resource Centre,http://www.linksresourcecentre.com/
53.6016,-2.4313,BL1 8TT,Total Fitness (Bolton),http://www.totalfitness.co.uk/clubs/bolton/
53.59719,-2.42395,BL1 8TS,Nuffield Health Fitness And Wellbeing Gym,http://www.nuffieldhealth.com/gyms/bolton/services/swimming-lessons/?utm_source=website&utm_medium=referral&utm_campaign=loveswimming
53.42533,-2.32613,M33 7QY,Sports Direct Fitness (sale),http://www.sportsdirectfitness.com
53.48244,-2.33879,M30 0DD,Eccles Leisure Centre,http://www.salfordcommunityleisure.co.uk/sport/locations/eccles-leisure-centre
53.41529,-2.31874,M33 3NL,DW Fitness First (Brooklands Sale),http://www.dwfitnessfirst.com/find-a-gym/brooklands-sale/
53.75077,-2.74096,PR1 0JE,Penwortham Leisure Centre,http://www.southribbleleisure.com/penwortham_lc
53.60723,-2.42422,BL1 8SN,Sharples Community Leisure Centre,http://www.sharplesschool.co.uk/healthhub/
53.42466,-2.31595,M33 2AL,Sale Leisure Centre,http://www.traffordleisure.co.uk
53.38783,-2.3144,WA15 7AF,Hale Country Club And Spa,http://www.halecountryclub.co.uk
53.73042,-2.64999,PR5 6YJ,Bamber Bridge Leisure Centre,http://www.southribbleleisure.com/bamber_bridge
53.51617,-2.34372,M27 9SZ,Swinton And Pendlebury Leisure Centre,http://www.salfordcommunityleisure.co.uk/sport/locations/swinton-and-pendlebury-leisure-centre
53.60216,-2.40962,BL2 3BP,Canon Slade Cofe School,http://www.canon-slade.bolton.sch.uk
53.77759,-2.89452,PR4 2PR,Sport And Leisure (ribby Hall Village),http://www.ribbyhall.co.uk
53.61401,-2.41271,BL7 9LT,Turton Sports Centre,http://www.tmac.uk.com/sportscentre
53.62204,-2.42101,BL7 9PZ,Spa Naturel (Mercure Bolton Last Drop Village Hotel And Spa),http://www.spanaturel.co.uk
53.76028,-2.72702,PR2 2YQ,DW Fitness First (Preston),http://www.dwfitnessfirst.com/find-a-gym/preston/
53.74892,-2.67738,PR5 4AW,Preston Fitness & Wellbeing Gym,http://www.nuffieldhealth.com/gyms/preston/?utm_source=website&utm_medium=referral&utm_campaign=loveswimming
53.36422,-2.29783,WA15 8XW,Marriott Leisure Club (manchester Airport),http://www.marriottleisure.co.uk
53.76071,-2.71949,PR1 8UY,Total Fitness (Preston),http://www.totalfitness.co.uk/clubs/preston/
53.21122,-2.37585,CW4 8EW,Club At De Vere Cranage Estate,http://www.phcompany.com/de-vere/cranage-estate/gym-pool
53.78321,-2.87906,PR4 2HA,Rural Splash YMCA Kirkham,http://ymcayactive.org/fitness-lifestyle/centres-facilities/
53.42874,-2.29334,M33 2LX,Open Swim UK,http://www.openswim.org.uk
53.45833,-2.29267,M32 0ZS,Stretford Sports Village (chester Centre),http://www.traffordleisure.co.uk
53.47079,-2.29544,M50 3AZ,Uswim Dock 9,https://www.uswimopenwater.com/salford-quays
53.28618,-3.57643,LL22 7HT,Abergele Leisure Centre,http://www.conwy.gov.uk
53.47075,-2.29306,M50 3AH,Virgin Active Club (Salford Quays),http://www.virginactive.co.uk/clubs/salford-quays
53.09915,-2.50962,CW5 6DQ,Rookery Hall Health Club & Spa,http://www.handpickedhotels.co.uk
53.30337,-2.29932,WA16 7RN,Cheshire Health Club & Spa,http://www.cheshirehealthclub.co.uk
53.36503,-2.27541,M90 3RA,Pace Health Club (manchester),tel:01614905000
53.79507,-3.0204,FY4 4XL,DW Fitness First (Blackpool),http://www.dwfitnessfirst.com/find-a-gym/blackpool/
53.34329,-2.27676,SK9 4LR,Spindles Health & Leisure (Airport Inn Manchester),http://www.britanniahotels.com/hotels/airport-inn-manchester/health-leisure
53.48238,-2.28465,M5 4HU,Clarendon Leisure Centre,http://www.salfordcommunityleisure.co.uk/sport/locations/clarendon-leisure-centre
53.79499,-3.05686,FY4 1BB,Sandcastle Water Park,http://www.sandcastle-waterpark.co.uk
53.76926,-2.67845,PR1 5EP,West View Leisure Centre,http://www.better.org.uk/leisure-centre/preston/west-view-leisure-centre/?utm_source=website&utm_medium=referral&utm_campaign=loveswimming
53.79699,-3.0426,FY4 2AP,Palatine Leisure Centre,http://www.blackpool.gov.uk/residents/sports-and-leisure/venues/palatine-leisure-centre.aspx#ad-image-0
53.40713,-2.26568,M22 4FH,Britannia Country House Hotel & Spa,https://www.britanniahotels.com/hotels/the-britannia-country-house-hotel
53.56301,-2.32314,M26 2SZ,Radcliffe Leisure Centre,http://www.bury.gov.uk
53.38054,-2.26451,M22 5RX,Wythenshawe Forum,http://www.everyoneactive.com/centre/wythenshawe-forum/?utm_source=Web&utm_medium=referral&utm_campaign=SwimEngland
53.08529,-2.50282,CW5 6PD,Alvaston Hall Country Club,http://www.warnerleisurehotels.co.uk
53.69575,-2.46938,BB3 1PW,Darwen Leisure Centre,http://bwdleisure.com/our-centres/darwen-leisure-centre/
53.78805,-2.71839,PR2 9YA,Fulwood Leisure Centre,http://www.better.org.uk/leisure-centre/preston/fulwood-leisure-centre/?utm_source=website&utm_medium=referral&utm_campaign=loveswimming
53.06963,-2.52357,CW5 5LS,Nantwich Swimming Pool & Fitness Centre,http://everybody.org.uk/locations/nantwich/
53.41613,-2.24812,M20 2WG,Spindles Health & Leisure (Manchester Didsbury),http://www.britanniahotels.com
53.80813,-3.04827,FY1 5EP,Bannatyne Health Club (Blackpool),http://www.bannatyne.co.uk/health-club/blackpool/
53.55302,-2.29637,M45 7TA,Total Fitness (Whitefield),http://www.totalfitness.co.uk/clubs/whitefield/
53.47652,-2.25687,M3 4JR,Y Club (Manchester),http://www.yclub.org.uk
53.8126,-3.01068,FY3 8LL,Velocity Health & Fitness (Blackpool),http://www.village-hotels.co.uk
53.43458,-2.24588,M20 1HD,Hough End Leisure Centre,http://www.better.org.uk/leisure-centre/manchester/hough-end/?utm_source=website&utm_medium=referral&utm_campaign=loveswimming
53.50108,-2.2614,M7 2DN,Broughton Leisure Centre,http://www.salfordcommunityleisure.co.uk/sport/locations/broughton-leisure-centre
53.46038,-2.2474,M15 5NN,Moss Side Leisure Centre,http://www.better.org.uk/leisure-centre/manchester/moss-side/?utm_source=website&utm_medium=referral&utm_campaign=loveswimming
53.47506,-2.25121,M3 4LQ,Livingwell Health Club (Manchester Deansgate),http://www.livingwell.com/clubs/manchester-deansgate/
53.31088,-2.25521,SK9 7RZ,MyOpenWaterSwim - Manchester,https://myopenwaterswim.co.uk/north-west/
